timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712144177554,728,HTTP Request,200,Ok,Thread Group 1-1,text,true,,14691,899,2,2,https://images.yandex.ru/showcaptcha?cc=1&mt=D296C2820FD6F9AC1518735DF4FA94769D1083BA9CDD5321B03AE2EEDCC9B727514FE2A22EF23F2BEA6C6F8B6A1F4D9D58D30E292D089AC956371A2408519DE406CF0AD57094772323FDBA952D2BCE6762B43C0479283412C5151CB6927D654BD7ABD10B6770CC45ACD2B39ECF43FD5BA1B7EDE9E7AFC322FC3E497C55EEAB0D19B03034E11F6D313A6B239B105CFF6B68F80B45A643DF68AE1422EF39EF94ECEF1C2F5D360199AF4717923BBCC7BF705A05A944FC4B728E20A86F71B5FF36CA4C528B1C3913395BC1D96485FF75C15B716D1162939C5B505E1E842306&retpath=aHR0cHM6Ly9pbWFnZXMueWFuZGV4LnJ1Lz8%2C_e8fae545b1da477333d0af0d30e299d6&t=2/1712144178/c0b7482084c2af23866bf4354c7964bf&u=f3a91511-1bc5e248-4fe23651-ad040d6f&s=927c9c8ab902e9c710fda24cb384253e,623,0,590
1712144177554,623,HTTP Request-0,302,Moved temporarily,Thread Group 1-1,,true,,1417,118,2,2,https://images.yandex.ru/,623,0,590
1712144178177,105,HTTP Request-1,200,Ok,Thread Group 1-1,text,true,,13274,781,2,2,https://images.yandex.ru/showcaptcha?cc=1&mt=D296C2820FD6F9AC1518735DF4FA94769D1083BA9CDD5321B03AE2EEDCC9B727514FE2A22EF23F2BEA6C6F8B6A1F4D9D58D30E292D089AC956371A2408519DE406CF0AD57094772323FDBA952D2BCE6762B43C0479283412C5151CB6927D654BD7ABD10B6770CC45ACD2B39ECF43FD5BA1B7EDE9E7AFC322FC3E497C55EEAB0D19B03034E11F6D313A6B239B105CFF6B68F80B45A643DF68AE1422EF39EF94ECEF1C2F5D360199AF4717923BBCC7BF705A05A944FC4B728E20A86F71B5FF36CA4C528B1C3913395BC1D96485FF75C15B716D1162939C5B505E1E842306&retpath=aHR0cHM6Ly9pbWFnZXMueWFuZGV4LnJ1Lz8%2C_e8fae545b1da477333d0af0d30e299d6&t=2/1712144178/c0b7482084c2af23866bf4354c7964bf&u=f3a91511-1bc5e248-4fe23651-ad040d6f&s=927c9c8ab902e9c710fda24cb384253e,103,0,0
1712144178456,134,HTTP Request,200,Ok,Thread Group 1-2,text,true,,14689,899,2,2,https://video.yandex.ru/showcaptcha?cc=1&mt=7F471B91118E90461460694CC8EAC1EC282F7E250D229ABD3414BE2059374D4E86A5DF5DC203CE1796A3AFD834BC161BA3AB54EAA673B54A1A81DA3587B9146D6A128D3730EBCD5BBCA5280F35B16BB77A0DD1331F6A62877FCD228C52F7D1B6030AC814800A95241E407FBF06DCF4551E54E04E055CC397530B2D98A738C9FE9F399C7F5A92BFE6891662A74871DAA87924C4FDCD2ECB0197671A147A76BBE4151722DAAD81780B1343E02E21BFC9C84DBBCCDDA95CCC476608940F4414FC8D108190A9F68A6D68F434EDF88BBF1A0D27AE0CF2C168B2240F8894BD85&retpath=aHR0cHM6Ly92aWRlby55YW5kZXgucnUvPw%2C%2C_abe0e805592188bfa9cf7920c27467ce&t=2/1712144178/0c71b889199534bb54b9f0e369dba5f5&u=9cfe7e3b-260df146-5f150c57-e1468050&s=4ed7d137c45169aea981f0e778d5838e,69,0,51
1712144178456,69,HTTP Request-0,302,Moved temporarily,Thread Group 1-2,,true,,1416,117,2,2,https://video.yandex.ru/,69,0,51
1712144178525,65,HTTP Request-1,200,Ok,Thread Group 1-2,text,true,,13273,782,2,2,https://video.yandex.ru/showcaptcha?cc=1&mt=7F471B91118E90461460694CC8EAC1EC282F7E250D229ABD3414BE2059374D4E86A5DF5DC203CE1796A3AFD834BC161BA3AB54EAA673B54A1A81DA3587B9146D6A128D3730EBCD5BBCA5280F35B16BB77A0DD1331F6A62877FCD228C52F7D1B6030AC814800A95241E407FBF06DCF4551E54E04E055CC397530B2D98A738C9FE9F399C7F5A92BFE6891662A74871DAA87924C4FDCD2ECB0197671A147A76BBE4151722DAAD81780B1343E02E21BFC9C84DBBCCDDA95CCC476608940F4414FC8D108190A9F68A6D68F434EDF88BBF1A0D27AE0CF2C168B2240F8894BD85&retpath=aHR0cHM6Ly92aWRlby55YW5kZXgucnUvPw%2C%2C_abe0e805592188bfa9cf7920c27467ce&t=2/1712144178/0c71b889199534bb54b9f0e369dba5f5&u=9cfe7e3b-260df146-5f150c57-e1468050&s=4ed7d137c45169aea981f0e778d5838e,65,0,0
1712144178974,227,HTTP Request,200,Ok,Thread Group 1-1,text,true,,14661,888,3,3,https://maps.yandex.ru/showcaptcha?cc=1&mt=B312044EE4090D9F07617ABDFA0BC0CFF857CCB620CCD5181CE110BD56D2546BDFAF938B90A6DE675DE3E0FDA1BA4AFEF4598E4087AF8ECC0486039D0874FE11352EB1B43CADF14E77BB5D4477746246040BF4A3C5EF2342E56639B54FA8A982D53AC50338A79E77D35261771558BEE830DD9F1BAD962331BA24A45293C57613A321ED8E89933353E9DE845FD56A4571C00080E437EA26A0DDEDBDD47BEA4544B088B18F03C4AAEA1CD21FF991540F1A5D63E30EA7F02789E5D363007A33AC6624F6209AC15192BCCFD970B868BB7870B9244A5540FBFA2ED2D7F6071D&retpath=aHR0cHM6Ly9tYXBzLnlhbmRleC5ydS8__ec3eb6033c0df544e780bf7fa34d0b65&t=2/1712144179/6781e340d45dcc61000a6283f013cf07&u=1051ffd2-9576c43-5ecf333c-96ed153a&s=cc9b7a1847a49fc0a093554b60534712,77,0,56
1712144178974,77,HTTP Request-0,302,Moved temporarily,Thread Group 1-1,,true,,1407,116,3,3,https://maps.yandex.ru/,77,0,56
1712144179052,149,HTTP Request-1,200,Ok,Thread Group 1-1,text,true,,13254,772,3,3,https://maps.yandex.ru/showcaptcha?cc=1&mt=B312044EE4090D9F07617ABDFA0BC0CFF857CCB620CCD5181CE110BD56D2546BDFAF938B90A6DE675DE3E0FDA1BA4AFEF4598E4087AF8ECC0486039D0874FE11352EB1B43CADF14E77BB5D4477746246040BF4A3C5EF2342E56639B54FA8A982D53AC50338A79E77D35261771558BEE830DD9F1BAD962331BA24A45293C57613A321ED8E89933353E9DE845FD56A4571C00080E437EA26A0DDEDBDD47BEA4544B088B18F03C4AAEA1CD21FF991540F1A5D63E30EA7F02789E5D363007A33AC6624F6209AC15192BCCFD970B868BB7870B9244A5540FBFA2ED2D7F6071D&retpath=aHR0cHM6Ly9tYXBzLnlhbmRleC5ydS8__ec3eb6033c0df544e780bf7fa34d0b65&t=2/1712144179/6781e340d45dcc61000a6283f013cf07&u=1051ffd2-9576c43-5ecf333c-96ed153a&s=cc9b7a1847a49fc0a093554b60534712,149,0,0
1712144179148,225,HTTP Request,200,Ok,Thread Group 1-2,text,true,,14811,897,2,2,https://games.yandex.ru/showcaptcha?cc=1&mt=D9E0D088EBE8053984E1EFEE955291CD4CC3383F397AEAFD500C27B961E5E25B957040BE0B5D0589CEE22CD4C1745E53FEDF26DC61BF1A75307CFCE6FBE0D4097E576A86B61C4EEE59085621B40DEE2B4902A932217679F86252E706BF9A6D1E04F6F6633698BA0E9757FCE128144F230A757875D1A6248D3DC74811F50B7631EC0601A9D391879D5533C0452EEFB968A241E6AEF5AC07538C15E48375E205CA4A5637248E5D56F65FC85A96A897985D770690DCB67CC0C212CD07F850A8154DDE8D5A99819B733B16807624AB09B5B59C9A96E7434EBA601C502DAED4&retpath=aHR0cHM6Ly9nYW1lcy55YW5kZXgucnUvPw%2C%2C_ad352ed9770239ee20b6cccef8352d8b&t=2/1712144179/8142ffd969859b5f885a74f6ae99a917&u=8c2b77d-b271b357-88c6eef-4ad755b6&s=20d658cdb84e8b942131ba31bc79c2e8,169,0,140
1712144179148,169,HTTP Request-0,302,Moved temporarily,Thread Group 1-2,,true,,1596,117,2,2,https://games.yandex.ru/,169,0,140
1712144179318,55,HTTP Request-1,200,Ok,Thread Group 1-2,text,true,,13215,780,2,2,https://games.yandex.ru/showcaptcha?cc=1&mt=D9E0D088EBE8053984E1EFEE955291CD4CC3383F397AEAFD500C27B961E5E25B957040BE0B5D0589CEE22CD4C1745E53FEDF26DC61BF1A75307CFCE6FBE0D4097E576A86B61C4EEE59085621B40DEE2B4902A932217679F86252E706BF9A6D1E04F6F6633698BA0E9757FCE128144F230A757875D1A6248D3DC74811F50B7631EC0601A9D391879D5533C0452EEFB968A241E6AEF5AC07538C15E48375E205CA4A5637248E5D56F65FC85A96A897985D770690DCB67CC0C212CD07F850A8154DDE8D5A99819B733B16807624AB09B5B59C9A96E7434EBA601C502DAED4&retpath=aHR0cHM6Ly9nYW1lcy55YW5kZXgucnUvPw%2C%2C_ad352ed9770239ee20b6cccef8352d8b&t=2/1712144179/8142ffd969859b5f885a74f6ae99a917&u=8c2b77d-b271b357-88c6eef-4ad755b6&s=20d658cdb84e8b942131ba31bc79c2e8,54,0,0
1712144179317,834,HTTP Request,200,OK,Thread Group 1-3,text,true,,24499,232,2,2,https://yandex.ru/tune/,419,0,390
1712144179317,419,HTTP Request-0,302,Found,Thread Group 1-3,text,true,,283,116,2,2,https://tune.yandex.ru/,419,0,390
1712144179737,414,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,24216,116,2,2,https://yandex.ru/tune/,413,0,347
1712144180324,154,HTTP Request,200,Ok,Thread Group 1-4,text,true,,14684,899,2,2,https://images.yandex.ru/showcaptcha?cc=1&mt=F3FFA48ABD737251A7F8FE0013385A96B5D3D5D96EB91041E67271CA21CA68B00DC9CAD058F9B5EDF63A0EDB59CF5E9E7B79ACA8D906754535616D8692EB6AE622EE56B85D16588445ABC14FC978ED6BFF61E4CDCC9CBDEA1B8F3042AF609105389C4D3E54B743B632494079556D3C67983D1D09FD4DC9C8FFA044BACA9511014D0CC3BB3BF91B2AC7811E1AF0C54F572090C7B970603FF8502209CCCCB34065D273BDB0E7CB9ACD06CED8603B8ADE05D16575B7F3B7ED2D548A767F22FC5AE16A101D734857CF7A104074A4440D06CAD271B758E9B932D0A02EBCDA92&retpath=aHR0cHM6Ly9pbWFnZXMueWFuZGV4LnJ1Lz8%2C_e8fae545b1da477333d0af0d30e299d6&t=2/1712144180/ef664cedc7f81458d76dfb116f63e9a3&u=d2c6aa37-fc5a1ca0-5653435a-12bff201&s=f977029ae383de79ddb86d843b173105,87,0,64
1712144180324,87,HTTP Request-0,302,Moved temporarily,Thread Group 1-4,,true,,1414,118,2,2,https://images.yandex.ru/,87,0,64
1712144180411,67,HTTP Request-1,200,Ok,Thread Group 1-4,text,true,,13270,781,2,2,https://images.yandex.ru/showcaptcha?cc=1&mt=F3FFA48ABD737251A7F8FE0013385A96B5D3D5D96EB91041E67271CA21CA68B00DC9CAD058F9B5EDF63A0EDB59CF5E9E7B79ACA8D906754535616D8692EB6AE622EE56B85D16588445ABC14FC978ED6BFF61E4CDCC9CBDEA1B8F3042AF609105389C4D3E54B743B632494079556D3C67983D1D09FD4DC9C8FFA044BACA9511014D0CC3BB3BF91B2AC7811E1AF0C54F572090C7B970603FF8502209CCCCB34065D273BDB0E7CB9ACD06CED8603B8ADE05D16575B7F3B7ED2D548A767F22FC5AE16A101D734857CF7A104074A4440D06CAD271B758E9B932D0A02EBCDA92&retpath=aHR0cHM6Ly9pbWFnZXMueWFuZGV4LnJ1Lz8%2C_e8fae545b1da477333d0af0d30e299d6&t=2/1712144180/ef664cedc7f81458d76dfb116f63e9a3&u=d2c6aa37-fc5a1ca0-5653435a-12bff201&s=f977029ae383de79ddb86d843b173105,67,0,0
1712144180644,127,HTTP Request,200,Ok,Thread Group 1-3,text,true,,14683,898,2,2,https://video.yandex.ru/showcaptcha?cc=1&mt=09A19A95BB303E6C2DCE22AD88AD2C885F5577E6F055E55FB9CF73A3DCED9083F82DDE984895E9244B18B226407974E5FAAFC9CADBD3A710B24337294C8D1610AC9678C1E1AE4D779E1A13C32B99EA1471A41B85880D7F314D7FE4BB9C4445E57458F1494A20E50698586C994146D6D0189DED30AA27B9905620BB40A21A016D184612F817748502280F253F4D20AA592F58394DEA91963E93E63C784327479028AD325F12AEDCDBE8E891DFC5167C8AFCF9F0CEFA965C387FD08F6E839D18A4EAEE791B8D11295744B3E6EAAD3BD64CEAAA9F18ED32A3A4E6E5DB35B1&retpath=aHR0cHM6Ly92aWRlby55YW5kZXgucnUvPw%2C%2C_abe0e805592188bfa9cf7920c27467ce&t=2/1712144180/592c1b58da37950b4c8f49ebf0a41109&u=9c94305-f56b6bfd-88603be0-b718cc64&s=c2f5d039927540861b0ce7cd49d2dcc4,65,0,47
1712144180644,65,HTTP Request-0,302,Moved temporarily,Thread Group 1-3,,true,,1414,117,2,2,https://video.yandex.ru/,65,0,47
1712144180709,62,HTTP Request-1,200,Ok,Thread Group 1-3,text,true,,13269,781,2,2,https://video.yandex.ru/showcaptcha?cc=1&mt=09A19A95BB303E6C2DCE22AD88AD2C885F5577E6F055E55FB9CF73A3DCED9083F82DDE984895E9244B18B226407974E5FAAFC9CADBD3A710B24337294C8D1610AC9678C1E1AE4D779E1A13C32B99EA1471A41B85880D7F314D7FE4BB9C4445E57458F1494A20E50698586C994146D6D0189DED30AA27B9905620BB40A21A016D184612F817748502280F253F4D20AA592F58394DEA91963E93E63C784327479028AD325F12AEDCDBE8E891DFC5167C8AFCF9F0CEFA965C387FD08F6E839D18A4EAEE791B8D11295744B3E6EAAD3BD64CEAAA9F18ED32A3A4E6E5DB35B1&retpath=aHR0cHM6Ly92aWRlby55YW5kZXgucnUvPw%2C%2C_abe0e805592188bfa9cf7920c27467ce&t=2/1712144180/592c1b58da37950b4c8f49ebf0a41109&u=9c94305-f56b6bfd-88603be0-b718cc64&s=c2f5d039927540861b0ce7cd49d2dcc4,62,0,0
1712144180909,115,HTTP Request,200,Ok,Thread Group 1-4,text,true,,14667,889,2,2,https://maps.yandex.ru/showcaptcha?cc=1&mt=2CE49F2C17D1D01423563094AB92EAB5F2B2CCDA61EAF03A22466465BDEC785290B90FFCECD88B45099407DEE3DD3BBBE212732D56EB1B21B92D211CE46B553987B809CB73968F539AB15978DFA323F5077A07A4495C661E55C7D958C7747A4B32F6546745DE90A8DF301AF609F7B8D2DE25AF5C4FCC3496827F72DC12A45EDB9C45509EA112CDB2E157D357A7227C4FADC039A8DC2C6A38ACB20023F519CC8189FB63F77F193EBF6AE347889C0DEEB539396EA622E80E471E7A262948360CC91B013B5273DB785233DC0DAE7F4D72212E5EE915DB926E2DEB5BCB866F&retpath=aHR0cHM6Ly9tYXBzLnlhbmRleC5ydS8__ec3eb6033c0df544e780bf7fa34d0b65&t=2/1712144180/9c3d6687d536df94afb979ffbefa5bc2&u=2e031bf9-15b82eab-3f6b5399-aa294af8&s=8b06dea4eca31554bc700483e2e6da18,61,0,45
1712144180909,61,HTTP Request-0,302,Moved temporarily,Thread Group 1-4,,true,,1411,116,2,2,https://maps.yandex.ru/,61,0,45
1712144180971,53,HTTP Request-1,200,Ok,Thread Group 1-4,text,true,,13256,773,2,2,https://maps.yandex.ru/showcaptcha?cc=1&mt=2CE49F2C17D1D01423563094AB92EAB5F2B2CCDA61EAF03A22466465BDEC785290B90FFCECD88B45099407DEE3DD3BBBE212732D56EB1B21B92D211CE46B553987B809CB73968F539AB15978DFA323F5077A07A4495C661E55C7D958C7747A4B32F6546745DE90A8DF301AF609F7B8D2DE25AF5C4FCC3496827F72DC12A45EDB9C45509EA112CDB2E157D357A7227C4FADC039A8DC2C6A38ACB20023F519CC8189FB63F77F193EBF6AE347889C0DEEB539396EA622E80E471E7A262948360CC91B013B5273DB785233DC0DAE7F4D72212E5EE915DB926E2DEB5BCB866F&retpath=aHR0cHM6Ly9tYXBzLnlhbmRleC5ydS8__ec3eb6033c0df544e780bf7fa34d0b65&t=2/1712144180/9c3d6687d536df94afb979ffbefa5bc2&u=2e031bf9-15b82eab-3f6b5399-aa294af8&s=8b06dea4eca31554bc700483e2e6da18,53,0,0
1712144181358,222,HTTP Request,200,Ok,Thread Group 1-5,text,true,,14826,898,1,1,https://games.yandex.ru/showcaptcha?cc=1&mt=8F42A19E68145808C9FE6224AE12B1592E4E612A0E7CA617635A3C8D5C2B9B3A463260E2F00CF3070B59457FC3DC9831FC0E20FC3F96A42079A50A1A5F1B3B5F6AFAF595E92F190DB89D122177C1000FA3A780B57FAE4F25E8A9E3F6286FA273044E1609E24DFBB9065A89A4475B47E6C00D19B141C1A6E01F9A8E33391E389B79895849732E53AFF7EE33181791DC2BC7350E5E3F040EDF7CE6CEA6F2AE86D07FE9597F5BF19029BC11113B59A62FBF35A39AD074391E1A9F6DD93E148E012097B94D0D2391CA8A542ED5598EFA730B1B75556541645470768DA127B6&retpath=aHR0cHM6Ly9nYW1lcy55YW5kZXgucnUvPw%2C%2C_ad352ed9770239ee20b6cccef8352d8b&t=2/1712144181/852edadd546dd41821250ebab9c48d68&u=4b8a50d5-b84b9e1-5fbc8783-a7fe401e&s=d342f1172668d49d9eb7274ebdf29781,139,0,110
1712144181358,139,HTTP Request-0,302,Moved temporarily,Thread Group 1-5,,true,,1601,117,1,1,https://games.yandex.ru/,139,0,110
1712144181498,82,HTTP Request-1,200,Ok,Thread Group 1-5,text,true,,13225,781,1,1,https://games.yandex.ru/showcaptcha?cc=1&mt=8F42A19E68145808C9FE6224AE12B1592E4E612A0E7CA617635A3C8D5C2B9B3A463260E2F00CF3070B59457FC3DC9831FC0E20FC3F96A42079A50A1A5F1B3B5F6AFAF595E92F190DB89D122177C1000FA3A780B57FAE4F25E8A9E3F6286FA273044E1609E24DFBB9065A89A4475B47E6C00D19B141C1A6E01F9A8E33391E389B79895849732E53AFF7EE33181791DC2BC7350E5E3F040EDF7CE6CEA6F2AE86D07FE9597F5BF19029BC11113B59A62FBF35A39AD074391E1A9F6DD93E148E012097B94D0D2391CA8A542ED5598EFA730B1B75556541645470768DA127B6&retpath=aHR0cHM6Ly9nYW1lcy55YW5kZXgucnUvPw%2C%2C_ad352ed9770239ee20b6cccef8352d8b&t=2/1712144181/852edadd546dd41821250ebab9c48d68&u=4b8a50d5-b84b9e1-5fbc8783-a7fe401e&s=d342f1172668d49d9eb7274ebdf29781,82,0,0
1712144182278,133,HTTP Request,200,Ok,Thread Group 1-6,text,true,,14690,899,2,2,https://images.yandex.ru/showcaptcha?cc=1&mt=C92CC21D7E8BAA1A572B52846907B032F60F6BB08949AF526BAA2642073CE716D72EA4940241F9517244A538DA52EDE59F12F248922CA66C3F4A50D8614CC482618CD611DFF1728991CBFA2DF1F1DC36279E22D1D4F68224BF6C91FBE7CF0805300EDE63843EAFE89E2EAD433BEB15FF7800065D8FE334BEAF72924568AE62FB66D5AC7D908377DB95F6DC172D0B89AFC6341520695C9289CA7B1164AF79F552DEC6BFAA6419507124C501EE3C215DFCC1F6870BCCBD296C6F7BB7B34289D84360F447478BDAE8DE3A68943F2CE6B53C704096B0577C044A105B9ADF3C&retpath=aHR0cHM6Ly9pbWFnZXMueWFuZGV4LnJ1Lz8%2C_e8fae545b1da477333d0af0d30e299d6&t=2/1712144182/32944218ede67ade02176d5444323814&u=57509861-5be5ba30-5cf83847-84a26a7f&s=a306ca45ca5f224fd0cc17ee01b13c1b,65,0,47
1712144182278,65,HTTP Request-0,302,Moved temporarily,Thread Group 1-6,,true,,1416,118,2,2,https://images.yandex.ru/,65,0,47
1712144182343,68,HTTP Request-1,200,Ok,Thread Group 1-6,text,true,,13274,781,2,2,https://images.yandex.ru/showcaptcha?cc=1&mt=C92CC21D7E8BAA1A572B52846907B032F60F6BB08949AF526BAA2642073CE716D72EA4940241F9517244A538DA52EDE59F12F248922CA66C3F4A50D8614CC482618CD611DFF1728991CBFA2DF1F1DC36279E22D1D4F68224BF6C91FBE7CF0805300EDE63843EAFE89E2EAD433BEB15FF7800065D8FE334BEAF72924568AE62FB66D5AC7D908377DB95F6DC172D0B89AFC6341520695C9289CA7B1164AF79F552DEC6BFAA6419507124C501EE3C215DFCC1F6870BCCBD296C6F7BB7B34289D84360F447478BDAE8DE3A68943F2CE6B53C704096B0577C044A105B9ADF3C&retpath=aHR0cHM6Ly9pbWFnZXMueWFuZGV4LnJ1Lz8%2C_e8fae545b1da477333d0af0d30e299d6&t=2/1712144182/32944218ede67ade02176d5444323814&u=57509861-5be5ba30-5cf83847-84a26a7f&s=a306ca45ca5f224fd0cc17ee01b13c1b,68,0,0
1712144182337,248,HTTP Request,200,OK,Thread Group 1-5,text,true,,24504,232,2,2,https://yandex.ru/tune/,111,0,76
1712144182337,111,HTTP Request-0,302,Found,Thread Group 1-5,text,true,,284,116,2,2,https://tune.yandex.ru/,111,0,76
1712144182450,135,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,24220,116,2,2,https://yandex.ru/tune/,134,0,43
1712144182927,151,HTTP Request,200,Ok,Thread Group 1-6,text,true,,14681,898,2,2,https://video.yandex.ru/showcaptcha?cc=1&mt=9E6E86D5BEF19B90CD86BE45B069B8908D1B750B9CAD2E525218EAA6A3E919227B370783309890A860458105FF6C7EC24451F06E035D9A6ED87FBBAF0C976CF14A3D8B1E2D2E6F15C88805ADE4B98F48C79D9E79F1F03C3AB305CFD4DF426E18B6AD201E14FC0DC97354E77D79A5D9F775114EE9B5302BB042B6E4FBBA7159B13DD45BA8284D06071FDA3C52AA156111CD7894620304FE2D4797BB601EF60B30D605090336F6CF77D50432D404C04F2F3860B7DE81492E7FF8FF2B69445D29C5573A6FAE2AA1544219A56E3BE08B180E56452E5833EE34E63CD54C85C2&retpath=aHR0cHM6Ly92aWRlby55YW5kZXgucnUvPw%2C%2C_abe0e805592188bfa9cf7920c27467ce&t=2/1712144182/5ad71fc49aad15f7dfea53e2af45085a&u=aab5cdda-bdd0925-ea7f47eb-a55f0aba&s=156666d4ab40ef50973facc44ea31130,83,0,60
1712144182927,83,HTTP Request-0,302,Moved temporarily,Thread Group 1-6,,true,,1419,117,2,2,https://video.yandex.ru/,83,0,60
